ko_maticni_broj,municipalityName,cadmunName,parcels_total,parcels_with_buildings
702412,BABUŠNICA,RAKITA,477,436
702439,BABUŠNICA,RAKOV DOL,188,186
702447,BABUŠNICA,RALJIN,119,114
702455,BABUŠNICA,RESNIK,124,115
702463,BABUŠNICA,STOL,270,250
702471,BABUŠNICA,STRELAC,601,584
702480,BABUŠNICA,STRIŽEVAC,324,308
702498,BABUŠNICA,STUDENA,473,464
702501,BABUŠNICA,SURAČEVO,585,525
702510,BABUŠNICA,CRVENA JABUKA,372,366
702528,BABUŠNICA,ŠTRBOVAC,311,304
702536,BAJINA BAŠTA,BAJINA BAŠTA,2385,2270
702544,BAJINA BAŠTA,BESEROVINA,336,261
702552,BAJINA BAŠTA,VIŠESAVA,814,762
702579,BAJINA BAŠTA,GVOZDAC,354,291
702587,BAJINA BAŠTA,GORNJE ZAROŽJE,351,268
702595,BAJINA BAŠTA,DOBROTIN,183,159
702609,BAJINA BAŠTA,DONJE ZAROŽJE,247,172
702617,BAJINA BAŠTA,DRAKSIN,214,194
702625,BAJINA BAŠTA,DUB,307,248
702633,BAJINA BAŠTA,ZAGLAVAK,559,440
702641,BAJINA BAŠTA,ZAOVINE,588,461
702650,BAJINA BAŠTA,ZAUGLINE,318,264
702668,BAJINA BAŠTA,ZLODOL,260,212
702676,BAJINA BAŠTA,JAGOŠTICA,167,136
702684,BAJINA BAŠTA,JAKALJ,317,267
702692,BAJINA BAŠTA,JELOVIK,123,105
702706,BAJINA BAŠTA,KONJSKA REKA,477,323
702714,BAJINA BAŠTA,KOSTOJEVIĆI,337,302
702722,BAJINA BAŠTA,LUG,945,895
702749,BAJINA BAŠTA,LJEŠTANSKO,232,191
702757,BAJINA BAŠTA,MALA REKA,458,378
702765,BAJINA BAŠTA,OBAJGORA,453,434
702773,BAJINA BAŠTA,OVČINJA,379,320
702781,BAJINA BAŠTA,OKLETAC,397,316
702790,BAJINA BAŠTA,PERUĆAC,406,326
702803,BAJINA BAŠTA,PILICA,497,405
702811,BAJINA BAŠTA,PRIDOLI,225,182
702820,BAJINA BAŠTA,RASTIŠTE,466,404
702838,BAJINA BAŠTA,RAČA,451,366
702846,BAJINA BAŠTA,ROGAČICA,53,53
702854,BAJINA BAŠTA,SVOJDRUG,403,358
702862,BAJINA BAŠTA,SIJERAČ,174,148
702889,BAJINA BAŠTA,SOLOTUŠA,666,536
702897,BAJINA BAŠTA,STRMOVO,598,519
702919,BAJINA BAŠTA,CRVICA,539,435
702927,BELA PALANKA,BABIN KAL I,221,197
702935,BELA PALANKA,BABIN KAL II,7,7
702943,BELA PALANKA,BEŽIŠTE,156,152
702951,BELA PALANKA,BELA PALANKA-VAN VAROŠ,73,36
702960,BELA PALANKA,BELA PALANKA-VAROŠ,2867,2490
702978,BELA PALANKA,BUKUROVAC,84,77
702986,BELA PALANKA,VETA,263,253
702994,BELA PALANKA,VITANOVAC,152,151
703001,BELA PALANKA,VRANDOL,266,196
703010,BELA PALANKA,VRGUDINAC,248,207
