geoidentifikator,naziv,tip_ustanove,kategorija,opstina,mesto,ulica,kucni_broj,rastojanje_m,biraca_prebivaliste,biraca_boraviste,biraca_ukupno,lat,lon
SRBRGI2011082,Кућа пуковника Елезовића,споменик културе,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),ЊЕГОШЕВА,20,2.7,18,0,18,44.803897,20.468243
SRBRGI2011117,Дом Друштва за улепшавање Врачара,споменик културе,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),ЊЕГОШЕВА,1,7.4,18,0,18,44.806224,20.465094
SRBRGI2012339,Центар за социјални рад – Бачка Топола,објекат социјалне заштите,stambeno-moguce,БАЧКА ТОПОЛА,БАЧКА ТОПОЛА,ПЕТЕФИ БРИГАДЕ,20,10.0,18,0,18,45.811822,19.626623
SRBRGI2012406,Месна заједница Црвенка,месна заједница,nestambeno,КУЛА,ЦРВЕНКА,МОШЕ ПИЈАДЕ,57,8.1,18,0,18,45.658271,19.455483
SRBRGI2013134,Вртић „Мачак Гарфилд”,предшколска установа,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ЈОВАНКЕ РАДАКОВИЋ,39А,6.9,18,0,18,44.79826,20.521253
SRBRGI2014837,"Градски центар за социјални рад – Београд, одељење Младеновац",објекат социјалне заштите,stambeno-moguce,МЛАДЕНОВАЦ,МЛАДЕНОВАЦ (ВАРОШ),КРАЉИЦЕ МАРИЈЕ,13,12.2,18,0,18,44.44296,20.695436
SRBRGI2016286,Дом здравља „Др Мартон Шандор” – амбуланта Ловћенац,амбуланта,nestambeno,МАЛИ ИЂОШ,ЛОВЋЕНАЦ,МАРШАЛА ТИТА,37,4.6,18,0,18,45.681606,19.691993
SRBRGI2016553,Локална пореска администрација Власотинце,локална пореска администрација,nestambeno,ВЛАСОТИНЦЕ,ВЛАСОТИНЦЕ,ТРГ ОСЛОБОЂЕЊА,12,0.0,18,0,18,42.964914,22.128264
SRBRGI2017853,Приватна ветеринарска амбуланта за кућне љубимце „Ветмедика-Зоран Секулић“,објекат ветерине,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ВОЈВОДЕ ШУПЉИКЦА,43,0.8,18,0,18,44.798314,20.486507
SRBRGI2018052,Приватна ветеринарска амбуланта „Луња“,објекат ветерине,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,27А,0.4,18,0,18,44.803437,20.398742
